"","area_id","representativeness_norm","h_items","h_items_norm","h_items_weight","h_items_weight_norm","f_fats_oils_jan","f_fats_oils_feb","f_fats_oils_mar","f_fats_oils_apr","f_fats_oils_may","f_fats_oils_jun","f_fats_oils_jul","f_fats_oils_aug","f_fats_oils_sep","f_fats_oils_oct","f_fats_oils_nov","f_fats_oils_dec","f_fats_oils_weight_jan","f_fats_oils_weight_feb","f_fats_oils_weight_mar","f_fats_oils_weight_apr","f_fats_oils_weight_may","f_fats_oils_weight_jun","f_fats_oils_weight_jul","f_fats_oils_weight_aug","f_fats_oils_weight_sep","f_fats_oils_weight_oct","f_fats_oils_weight_nov","f_fats_oils_weight_dec"
"226","E01000278",0.334587714300072,3.1189575720106,0.763054660836138,2.68533702934484,0.776236481992558,0.0338010914355719,0.0359690666027217,0.0326050607513098,0.0364711130939103,0.0438463548471388,0.0372804532577904,0.0375727348295927,0.0341045874013642,0.0340391621129326,0.0383897778029061,0.0469289590527874,0.0535341485237101,0.0276938357362783,0.0355095297283998,0.0288734658434673,0.0306663979409813,0.0312248491816661,0.0287085470793572,0.0298776001449693,0.0284783383531086,0.0262716808775456,0.0309000711557053,0.0385850219697943,0.0384663604952472
"227","E01000279",0.180419392624395,3.09055413367478,0.756105744249258,2.63582811640228,0.761925196671632,0.0355564906374921,0.0305931807566558,0.0311262026032824,0.0309020677118837,0.0420611798980335,0.0330730362884704,0.0282125205930807,0.03613777526821,0.0357062654390299,0.0409669211195929,0.0473118279569893,0.0426561125769569,0.0321049655790893,0.0325474195941263,0.0334218005324784,0.0242578330160827,0.0384262721813999,0.0329555867694278,0.0249004662426059,0.0306988507537602,0.0357131320979322,0.0403615733311765,0.044006184793037,0.0304196059294357
"228","E01000280",0.281567379405827,3.08998937294514,0.755967575230586,2.67392581813945,0.772937902207397,0.0326947637292465,0.0347779561262707,0.032970887407927,0.0367218987908643,0.0345948456001857,0.0335893614582139,0.0327332242225859,0.0354457572502685,0.0379828882551206,0.03784516765286,0.0390995260663507,0.0499566536627655,0.029185482728845,0.0324448605525535,0.027317421271121,0.037815215829719,0.0304318674136268,0.0268063898230969,0.0244485983708132,0.0302035545738033,0.0326431646966193,0.0316367096257774,0.0339822947044574,0.0361047711355678
"229","E01000281",0.32579384626609,3.27867008574052,0.802128413903228,2.8216634840715,0.815643664950655,0.0326406011506399,0.037125748502994,0.0313735492921821,0.0305976922079606,0.0331885107410089,0.029385460585154,0.0285749628896586,0.0275284260921604,0.0350678733031674,0.0337061668681983,0.0327707684745207,0.0377606065024056,0.0327184572365165,0.0365524842867381,0.0272843537746656,0.0291799763634586,0.030907017385619,0.0280811255986334,0.0267855266906743,0.0304101237651041,0.0328061148382739,0.027802038139465,0.0301265440873136,0.0318021122164517
"230","E01000282",0.286043656467305,3.19172906378863,0.780858245750386,2.75519828938754,0.79643091499315,0.0296550647729046,0.0306485524826136,0.0293505272348714,0.0337414578587699,0.0309204901681391,0.0306040805440725,0.0295223901781279,0.0286383285302594,0.0332279700871174,0.0321299904418793,0.037805316091954,0.0431016118724704,0.0260889666613482,0.0268845432441417,0.0295453586064776,0.0307591794851017,0.0278384854138113,0.0269824782362514,0.027535359337946,0.0299278490394788,0.03102430564949,0.0289596073565842,0.0305567250199853,0.0301801668517008
"231","E01000283",0.312674742563568,3.09045912469788,0.756082500251554,2.68588684912911,0.776395415553005,0.0360967503692762,0.0333647108043092,0.0310600945307225,0.0294976341487969,0.0321174004192872,0.0344622107458536,0.0347051597051597,0.0376988450642842,0.0301169011293838,0.0372380952380952,0.0404505888376856,0.0380273871206514,0.0300735528868222,0.0312465570199498,0.0295790416227506,0.0273854804748131,0.0300031429158979,0.0302030216602927,0.0316487243901463,0.0320937922669252,0.0265335179340922,0.0325176418895715,0.0350100759740177,0.0296153757205297
"232","E01000284",0.281794364036487,3.20064816604907,0.783040308953612,2.79731119875391,0.808604275824881,0.0272103715987035,0.0323106163453706,0.028377032857617,0.0264451601966435,0.0279380504099605,0.0284765462847655,0.0308827105455135,0.0311743904708729,0.0277987738305199,0.0322187391152908,0.0323470649795452,0.037143772014089,0.0316851093154886,0.0314839681252438,0.0303909530906972,0.0271662719362984,0.0291225892691584,0.028308131031872,0.0301106659775821,0.0328808048247674,0.0271103674778938,0.0323353010218533,0.030161307884724,0.030636309478048
"233","E01000285",0.343062476007762,3.29142179100444,0.805248125508979,2.85580820674885,0.825513703281056,0.0343364709001723,0.0334757834757835,0.0327259204165117,0.0349219391947412,0.0334914474629869,0.0313368323556653,0.0332240125481249,0.0345980277452783,0.0298811013767209,0.0421643401928335,0.0295190713101161,0.0414607358594179,0.034675254399673,0.0333632990090139,0.039210593661798,0.036451486787701,0.0381978655136866,0.0285414613820039,0.0377822870809822,0.0334483393276776,0.0374647995823295,0.038280203088235,0.0310195161471211,0.0343281431077495
"234","E01000286",0.254805864267243,3.32699571927563,0.813951306345801,2.82601928633786,0.816902774176254,0.0249743414300376,0.0285075461151481,0.0240178737665239,0.0316110397946085,0.0271969816066656,0.0259865255052935,0.0254406687261494,0.0306197286395306,0.028770550393138,0.0283067421513124,0.0328056456227351,0.0321580150179563,0.0227960129820373,0.0286821013945202,0.0300956585487262,0.0301812608205319,0.026765947881827,0.0278513827085484,0.0267934259452297,0.0284655181898977,0.0271396868867702,0.0289100622008448,0.0314347118134014,0.0258908237690195
"235","E01000287",0.276490957328242,3.24796945832302,0.794617488762169,2.791117554079,0.806813911002653,0.021703824007087,0.0310025273799494,0.0274699547370064,0.0233338660700016,0.0291561536305018,0.0216903515332835,0.0236597783767595,0.027830011282437,0.0252444444444444,0.0292922451743989,0.0322874863188617,0.0370986524704708,0.0238914358499887,0.0285241260483063,0.0302124221684898,0.027363186588603,0.0343727915933972,0.0234136667166225,0.0243133021034395,0.0314193130392972,0.0274563208360805,0.0282334735247634,0.0330243595926311,0.0336034677459308
