"","area_id","representativeness_norm","h_items","h_items_norm","h_items_weight","h_items_weight_norm","f_sweets_jan","f_sweets_feb","f_sweets_mar","f_sweets_apr","f_sweets_may","f_sweets_jun","f_sweets_jul","f_sweets_aug","f_sweets_sep","f_sweets_oct","f_sweets_nov","f_sweets_dec","f_sweets_weight_jan","f_sweets_weight_feb","f_sweets_weight_mar","f_sweets_weight_apr","f_sweets_weight_may","f_sweets_weight_jun","f_sweets_weight_jul","f_sweets_weight_aug","f_sweets_weight_sep","f_sweets_weight_oct","f_sweets_weight_nov","f_sweets_weight_dec"
"2687","E01003991",0.271985115361869,3.25285736266931,0.795813317210309,2.80199521612914,0.809958260493921,0.150769230769231,0.173701553428527,0.168831168831169,0.170205651228892,0.173622172666454,0.158152909336942,0.14953760251265,0.147136397889977,0.159009188973232,0.132941176470588,0.146285714285714,0.145172656800564,0.12123460889787,0.11253382598235,0.131201075554559,0.128906680993675,0.117318289805615,0.101005237836362,0.101316833482864,0.0875194757942022,0.106886035398047,0.0976034914812295,0.0977387409907795,0.117137404334304
"2688","E01003992",0.266724602201834,3.28897621941708,0.804649815094343,2.84911291272121,0.823578329275809,0.132906043104663,0.136513042870131,0.146200027288853,0.137876927275208,0.133621725546744,0.127527654477559,0.127474840492008,0.133142395534993,0.142796759422332,0.144979614401216,0.142877401971212,0.154661677580293,0.0813637871058996,0.0889126554139511,0.0961539513056147,0.0828920569782626,0.0980631490696291,0.0849813561724356,0.0766794356685782,0.097422806209194,0.0999865591708206,0.106582451473594,0.098746425486081,0.123851104765408
"2689","E01003993",0.222255376306987,2.5424627059497,0.622014879325966,1.75348226726654,0.506870047038898,0.112768072716944,0.124543995330512,0.0847963571970655,0.0641103919892539,0.0396068076651591,0.088870131436151,0.130295121461554,0.10055910543131,0.0956728860658992,0.0947320676472494,0.133767846058349,0.149320369084235,0.0530593433630718,0.0585649264719325,0.0312716760527983,0.0210974827623972,0.0138684990575944,0.0351418624511174,0.0698796178551024,0.0482394880656521,0.0474123992963099,0.0546013628972872,0.0922292934873588,0.106100731356597
"2690","E01003994",0.206442563750992,3.34449340944333,0.818232125731145,2.82524334068958,0.816678475582204,0.131084840055633,0.140108035111411,0.152998776009792,0.144022703086201,0.13469387755102,0.126729291204099,0.128214285714286,0.129982996410353,0.154735347799635,0.143755238893546,0.143173580346355,0.179593243709066,0.0758384568949422,0.0913510421000552,0.0975372137575285,0.0942647694506539,0.0825609853033419,0.0794287349388505,0.0766430449676272,0.0858287236495358,0.104906499671262,0.097304428846837,0.0966478640658937,0.116409052535405
"2691","E01003995",0.313039358618485,3.28315764927416,0.803226298754523,2.82172484217331,0.815661401419698,0.13433444316097,0.139742103738047,0.145356298547788,0.138919434059087,0.137586834828354,0.127121603687923,0.139401091606432,0.136370504684195,0.133864671437866,0.156289707750953,0.152752109280836,0.156398844381979,0.0870469173611107,0.0974822314555402,0.101339262394674,0.0858246222783041,0.0812429761356781,0.0817822348386423,0.0796398308395972,0.0834042608373995,0.084497501955451,0.111952585332382,0.105445502796985,0.119559078436539
"2692","E01003997",0.160240951454023,3.3226738695097,0.812893963457612,2.82395930496131,0.816307306017423,0.144597045866805,0.152155047729245,0.176150121065375,0.177837354781055,0.150385946233697,0.148684599467928,0.137509747855472,0.169594836859089,0.153772070626003,0.153866317169069,0.164439279488669,0.171956145412579,0.0884688475704252,0.0953203533046188,0.113534739030166,0.127465947348469,0.0852462998933056,0.113549931335012,0.0767890983493473,0.0966367999132596,0.0875984929476576,0.100720066698062,0.115776236096934,0.124193346134498
"2693","E01003998",0.361556794195772,3.27204038045894,0.800506452912006,2.8095800292378,0.81215076317783,0.131901169782442,0.135400170544524,0.144161435908077,0.143640593840018,0.136172006745363,0.126807127647652,0.127942794279428,0.138604225110208,0.139908675799087,0.137713202779533,0.155927678679772,0.149871244635193,0.080046703818832,0.0864076438447953,0.0876063386341847,0.0872974942389381,0.0784658068428719,0.0779907104924271,0.0765967857101795,0.0890456905501041,0.0924780342903546,0.0954686602258717,0.091583117858814,0.108294960564339
"2694","E01003999",0.241691417905754,3.22901680497898,0.78998071184697,2.79482367571,0.807885220408233,0.130010624939631,0.158475232198142,0.162706515685911,0.153394639013892,0.140233574039404,0.146497461928934,0.139288651315789,0.150753768844221,0.13594880939893,0.133851649506199,0.153932458207113,0.147398843930636,0.0830784728743738,0.0959329693193756,0.112841414134131,0.0986632580362577,0.0847240955431194,0.0908447970310668,0.0819085622515795,0.0955573164092968,0.0888315688232866,0.0889214314277602,0.103661229742026,0.112911894943931
"2695","E01004000",0.151439869414993,3.3060795349955,0.808834150522622,2.80441877588638,0.81065882637422,0.162600267379679,0.163778162911612,0.182191291934333,0.157960199004975,0.155147691425294,0.171665819352652,0.165999271933018,0.14081188836535,0.160039434768321,0.164261931187569,0.172813284417841,0.192144218085886,0.0983780596165293,0.10265174318589,0.107105845815038,0.101453017871463,0.0805198671742579,0.0912755166655377,0.0878037611360957,0.084846992549836,0.100283547047608,0.113926745379255,0.105020310555823,0.121634490298237
"2696","E01004001",0.158404709054145,3.35780329269292,0.821488395883688,2.88183995020742,0.833038564682658,0.140810087886893,0.161038961038961,0.200741427247451,0.177401865105183,0.155256723716381,0.154937906564163,0.137631366208569,0.160319270239453,0.167287014061208,0.164891437935272,0.186651323360184,0.16737915159487,0.0711146251433425,0.0954651762151086,0.126360775563592,0.0975759971390029,0.102411775907858,0.105606949180018,0.0900228357198812,0.110089795391842,0.119243742089199,0.105176411963283,0.118558319239557,0.126841635548658
"2697","E01004002",0.11233058293796,3.25064743703996,0.795272657707048,2.75783294648796,0.797192501690291,0.129097668131125,0.160197869101979,0.176536312849162,0.140219952867243,0.143830947511929,0.116609294320138,0.128768142910309,0.124016658954188,0.127733026467204,0.151423641069888,0.14868540344515,0.149420849420849,0.091122052812614,0.0966570305026785,0.120000104426237,0.089867673742707,0.0831182209769392,0.0550888325215174,0.0801149828184871,0.0876679612099484,0.0735022590547221,0.11427301720355,0.101849747161545,0.106067498903482
