"","area_id","representativeness_norm","h_items","h_items_norm","h_items_weight","h_items_weight_norm","f_readymade_jan","f_readymade_feb","f_readymade_mar","f_readymade_apr","f_readymade_may","f_readymade_jun","f_readymade_jul","f_readymade_aug","f_readymade_sep","f_readymade_oct","f_readymade_nov","f_readymade_dec","f_readymade_weight_jan","f_readymade_weight_feb","f_readymade_weight_mar","f_readymade_weight_apr","f_readymade_weight_may","f_readymade_weight_jun","f_readymade_weight_jul","f_readymade_weight_aug","f_readymade_weight_sep","f_readymade_weight_oct","f_readymade_weight_nov","f_readymade_weight_dec"
"903","E01001491",0.24098679099944,3.28990928006518,0.804878088887728,2.76690492563355,0.799814891766369,0.0554066130473637,0.045060493474326,0.0465446644940252,0.0444899478778853,0.0460829493087558,0.0448605577689243,0.0458098680339581,0.0416158965226357,0.0521408182683159,0.0462576780162281,0.0447932933344292,0.0368803384689072,0.0494070861844359,0.0369492892773775,0.0389458850269101,0.0365025821032069,0.0365789145678133,0.0403370449389222,0.0369159186427555,0.0332601997088417,0.0411766463094626,0.0383236722829462,0.0392653956320188,0.0306904263333202
"904","E01001492",0.319263290716925,3.30436579095603,0.808414882114313,2.86405254803002,0.827896852361601,0.0654841802492809,0.0612470481836909,0.0562311463046757,0.058249895702962,0.0568105475310716,0.0543935123374376,0.0522127329192547,0.061934302857724,0.0595887768039248,0.0596151063521922,0.0563429571303587,0.0494308793831467,0.065515439954351,0.056448542395732,0.0552032696216787,0.0505038677593608,0.0537687446853829,0.0505082892527541,0.0487060204758466,0.0606398134147434,0.054335491903633,0.0551895055503825,0.0535713646188777,0.0491990208223771
"905","E01001493",0.166274319339337,3.25565737119538,0.796498340814149,2.78664943347277,0.805522334495648,0.0610134436401241,0.0652320107599193,0.0502588438308887,0.0496357012750455,0.0493925512846047,0.0587690883850069,0.0533769063180828,0.0469689958352614,0.0576316974335885,0.063874103216848,0.0566509302971397,0.046100818612667,0.0586563457529306,0.05688566926633,0.047330645906793,0.0362979550632628,0.046559058613733,0.0543422433131253,0.0475544913538112,0.035038921008823,0.0582406463158647,0.0598137390977526,0.0567779421796579,0.0414034794202225
"906","E01001494",0.186975694722879,3.13213190344179,0.766277768162824,2.69219586767204,0.778219130902354,0.0707446808510638,0.053733555679081,0.0510894064613073,0.0448225772981947,0.0499075785582255,0.053330728657941,0.0436207249641614,0.0606440819740694,0.0460251046025105,0.0663101604278075,0.0708089097303634,0.0425575657894737,0.0719451606195781,0.0511847189356877,0.0465714226169796,0.0407282165354298,0.0455705408823495,0.0441025579820617,0.0356535895847074,0.0574675042442527,0.0348192043768337,0.0523262129479907,0.0639694422293097,0.0369536389961037
"907","E01001495",0.105703728134686,3.18997409398278,0.780428891435985,2.67621047424548,0.773598315927881,0.0413337964571032,0.048,0.0506211180124224,0.058435127104655,0.0519257221458047,0.0618323081903529,0.0807679576299239,0.0675618967687789,0.0660478400571225,0.0680912712785223,0.0648388291959985,0.0517006802721088,0.035634579835417,0.0481594883644156,0.0417163361252387,0.0503770054666152,0.0429115932758837,0.0520141175213533,0.0768686275307264,0.0586386025526223,0.0510649601018759,0.0530293509975742,0.0665683271500172,0.0419191807123028
"908","E01001496",0.199220143394423,3.21407787777837,0.786325895208675,2.78404207329205,0.804768638377859,0.0662865288667142,0.059054305182738,0.0516103996895615,0.0426867545511613,0.0490463215258856,0.0445834962847087,0.0545052292839903,0.0560941828254848,0.0453178694158076,0.0499772830531577,0.054973152646382,0.0440511307767945,0.0604778616101166,0.0510195688897043,0.045404380134715,0.0345920588193228,0.0410931540926351,0.0420991065649299,0.0400059461012834,0.0464350105340169,0.0363737778531761,0.042928312166023,0.0523632168512802,0.0419044668399885
"909","E01001497",0.193375423051821,3.23454985187744,0.791334374770242,2.74665264838471,0.793960670760892,0.0526088831392842,0.0433920704845815,0.0499530516431925,0.0543701272055806,0.0481883391576237,0.0472676505783805,0.0583090379008746,0.0500261917234154,0.0487897125567322,0.0577413479052823,0.0519585954942155,0.0481689211481359,0.0380100327246471,0.0300996876957034,0.0352329365439975,0.0321522061419373,0.0387241915105954,0.032332316871294,0.0438694341891761,0.0328000287961768,0.0338921657917401,0.0506661910438314,0.0337730632716227,0.0307019905316523
"910","E01001498",0.11349716706162,3.19912404217221,0.782667431220881,2.67089084381645,0.772060597881838,0.0665561999447666,0.0593966059082338,0.0595476667620956,0.0496414782129068,0.0395604395604396,0.0480609877361617,0.0419325432999088,0.0412219359587781,0.044921875,0.0482573726541555,0.0439003799071338,0.040410519563823,0.0613874741386644,0.0488092332427124,0.0503449603187023,0.0383668369793337,0.0336912599256543,0.0331945901407729,0.0256649057855933,0.0324983580075376,0.039261563074508,0.035299497593839,0.0288796375737024,0.0368591949887858
"911","E01001499",0.190310478495343,3.23712495541773,0.791964375247386,2.75858760847657,0.797410647926957,0.0533003882809742,0.03888354186718,0.0488888888888889,0.040384978297792,0.0495718050065876,0.0433042212518195,0.0398183723367097,0.0524128376818287,0.0527448869752422,0.047649436290151,0.0516462233699161,0.0437716578515411,0.0475642559324463,0.0327141367433271,0.0385423355426945,0.0312036525410571,0.0384632138563703,0.0262081813332672,0.0284763374986726,0.0450749079399786,0.0369490462481606,0.0349548872439159,0.0346608406112271,0.0323572994487948
"912","E01001500",0.120835635218683,3.23290271680847,0.790931402282678,2.76263194340601,0.798579722900907,0.0640920295809367,0.0443368107302534,0.042796471741261,0.037161031134918,0.0357511172224132,0.0425177157148812,0.0520833333333333,0.049136786188579,0.0440909090909091,0.0563594821020564,0.0416401780038144,0.0374570446735395,0.0658410852177538,0.0333543964510373,0.0465259514840021,0.036281359858385,0.0362302925819241,0.0334933336540355,0.0490446816209252,0.0414777185845649,0.0308007776283123,0.0411009530540051,0.0436801983431504,0.0252786118182906
