"","area_id","representativeness_norm","h_items","h_items_norm","f_spirits_jan","f_spirits_feb","f_spirits_mar","f_spirits_apr","f_spirits_may","f_spirits_jun","f_spirits_jul","f_spirits_aug","f_spirits_sep","f_spirits_oct","f_spirits_nov","f_spirits_dec"
"1","E01000001",0.284288112466415,3.08388323994057,0.754473706480771,0.00277349768875193,0.00376116596144805,0.0032183908045977,0.00406768630003254,0.00255677545495563,0.00284405119292147,0.00265721877767936,0.00257648953301127,0.00135399428313525,0.00202492211838006,0.00252482747012287,0.00328073738478363
"2","E01000002",0.211394099069902,3.10980799408879,0.760816211637415,0.00414269275028769,0.0012370113805047,0.00173826669977651,0.00346964064436183,0.00219084712755599,0.00208713801200104,0.00158982511923688,0.00204081632653061,0.00212665406427221,0.00373532550693703,0.00351636461996213,0.00909743835288485
"3","E01000003",0.242093642431441,3.24651508408476,0.794261675316335,0.00284539993676889,0.00352485019386676,0.00324775750077328,0.00354012137559002,0.00487886944818304,0.00390558668704364,0.00335570469798658,0.00237408851958623,0.00317628374801482,0.00344411916652316,0.00430469773535467,0.00521221146686523
"4","E01000005",0.412035836790827,3.19584185198246,0.781864441611625,0.00213910676087379,0.00296950822046788,0.00269559078364675,0.00318341912760769,0.00226273597103698,0.00289056197902662,0.00211077953271708,0.00245505662469312,0.00202898550724638,0.0026848409748038,0.00302305961754781,0.00413052457662123
"5","E01000006",0.165697600350299,3.19003131606505,0.780442890849433,0.000885739592559787,0.00126542233470421,0.00215807930941462,0.00108108108108108,0.00194316249696381,0.00145525103080281,0.00169163847269212,0.001998001998002,0.00208023774145617,0.00629650829994276,0.00446428571428571,0.00635407537248028
"6","E01000007",0.160021269091707,3.2521685002039,0.795644786634703,0.00279116975386958,0.00531161473087819,0.00112233445566779,0.00294985250737463,0.00318159569260891,0.00239489089941458,0.00383228133453562,0.00485175202156334,0.00596125186289121,0.0125576627370579,0.00455788514129444,0.00994644223412395
"7","E01000008",0.180548666730835,3.3825397572016,0.827540185335824,0.00455729166666667,0.00438917337234821,0.003382949932341,0.00266489007328448,0.00422932330827068,0.00367261280167891,0.00389105058365759,0.00069060773480663,0.00252206809583859,0.00605326876513317,0.00421940928270042,0.01085776330076
"8","E01000009",0.158430941088429,3.22262793442462,0.788417671202323,0.00231570822076418,0.00226039783001808,0.00204638472032742,0.000367107195301028,0.0013684570646596,0.000693721817551162,0.00135961930659415,0.00035650623885918,0.00347523892267593,0.00410818212940774,0.00460503010981226,0.0218698742482231
"9","E01000010",0.154674957137291,3.27282287801145,0.800697891362433,0.00149328023892484,0.0021697857336588,0.00349388570002496,0.00215775593382882,0.00320366132723112,0.00299490865528601,0.00188383045525903,0.000923929781336618,0.00168302945301543,0.0046449900464499,0.0742916378714582,0.00717703349282297
"10","E01000011",0.185060854072049,3.32387501109757,0.813187823398246,0.00166057788110262,0.0019485580670304,0.00236008091706001,0.00334821428571429,0.0038265306122449,0.00312588803637397,0.00577053632043449,0.00355590675622284,0.00442282176028306,0.0174440652256352,0.0177078209542548,0.00686912509038322
"11","E01000012",0.171411480082022,3.1948081753287,0.781611552057906,0.00160299225220411,0.00225352112676056,0.00536624631070566,0.00137779002480022,0.00137583123136895,0.000491883915395967,0.00151591712986357,0.00541795665634675,0.00187717886832931,0.00328317373461012,0.00342075256556442,0.0112962439988704
"12","E01000013",0.0644720286471075,3.34450270108966,0.818234398937456,0.00673724735322425,0.00673076923076923,0.0036330608537693,0.012448132780083,0.00677966101694915,0.00481695568400771,0.00723981900452489,0.00582241630276565,0.000909090909090909,0.00497866287339971,0.00900900900900901,0.00964391691394659
"13","E01000015",0.0768293860817296,3.23754448906091,0.792067014380627,0.00492206726825267,0.00291828793774319,0.000940733772342427,0.00719424460431655,0.00459242250287026,0.00195694716242661,0.00229182582123759,0.0015527950310559,0.00334821428571429,0.00227100681302044,0.00781928757602085,0.0117944397641112
"14","E01000017",0.0897030804782358,3.165015525276,0.774322764071376,0.00378787878787879,0.00856389986824769,0.00336473755047106,0.00357909806728704,0.00460034502587694,0.00467836257309941,0.00782778864970646,0.00833333333333333,0.00455729166666667,0.0060790273556231,0.00304645849200305,0.00698812019566737
"15","E01000018",0.0766075579282099,3.2458217257092,0.79409204481387,0.00636363636363636,0.00634920634920635,0.00393700787401575,0.00390625,0.00597907324364723,0.0046916890080429,0.0116472545757072,0.010377358490566,0.00494233937397035,0.010377358490566,0.00897308075772682,0.00977198697068404
"16","E01000020",0.126694868227285,3.23607710956572,0.791708019191636,0.00240673886883273,0.00182748538011696,0.00363416111447607,0.00246913580246914,0.00109409190371991,0.00113895216400911,0.00264850548618994,0.0021505376344086,0.00151343170639425,0.00275862068965517,0.00343760742523204,0.00865107337391862
"17","E01000022",0.142549815154741,3.32824051775495,0.814255846968593,0.00224618149146451,0.00150075037518759,0.00341442594963722,0.00238435860753457,0.00492797573919636,0.00339640950994663,0.00796812749003984,0.00358606557377049,0.00578592092574735,0.00378787878787879,0.0054380664652568,0.00697674418604651
"18","E01000023",0.183487035851987,3.32373427698727,0.813153392721866,0.00160056909123244,0.00080749354005168,0.00152928582352042,0.00248408632199969,0.00218549378500205,0.001778304682869,0.00196046397647443,0.00196358443413067,0.00174428745857317,0.00249791840133222,0.00202771206488679,0.0102224894768491
"19","E01000024",0.131911636122821,3.14839441104519,0.770256399464198,0.00579710144927536,0.00283860502838605,0.00237416904083571,0.00262054507337526,0.00261210274270788,0.00260010400416017,0.00271886895051659,0.00161117078410311,0.00283446712018141,0.00378548895899054,0.00218914185639229,0.00624219725343321
"20","E01000025",0.1563323462968,3.32812746999791,0.814228189773548,0.0046807087930458,0.00434782608695652,0.00334448160535117,0.00345781466113416,0.00346820809248555,0.00380807311500381,0.0041427660930529,0.00145454545454545,0.00341180484476288,0.00346347607052897,0.00253565768621236,0.00732138348901792
"21","E01000027",0.0797354312103804,3.20552466982912,0.784233348247043,0.00264550264550264,0.00128700128700129,0.00488758553274682,0.00552486187845304,0.00274223034734918,0.00714285714285714,0.0118623962040332,0.00501882057716437,0.00720576461168935,0.00437956204379562,0.00505050505050505,0.00887311446317657
