"","area_id","representativeness_norm","h_items","h_items_norm","f_soft_drinks_jan","f_soft_drinks_feb","f_soft_drinks_mar","f_soft_drinks_apr","f_soft_drinks_may","f_soft_drinks_jun","f_soft_drinks_jul","f_soft_drinks_aug","f_soft_drinks_sep","f_soft_drinks_oct","f_soft_drinks_nov","f_soft_drinks_dec"
"670","E01001213",0.0925270872078099,3.30449612632306,0.808446768732514,0.247342995169082,0.114285714285714,0.122144112478032,0.0862656072644722,0.0890625,0.107355864811133,0.0880382775119617,0.10059880239521,0.104144527098831,0.088078967350038,0.0901785714285714,0.0950639853747715
"671","E01001216",0.142763279847116,3.21225456350187,0.785879820382479,0.0133422281521014,0.0248356464572681,0.0312145289443814,0.0323464912280702,0.031435349940688,0.0227743271221532,0.0419084461637653,0.0287461773700306,0.0319222761970854,0.0278858625162127,0.0141604855023601,0.0320665083135392
"672","E01001217",0.215457647550685,3.16883675722664,0.775257630539658,0.036078431372549,0.0211370262390671,0.016926201760325,0.0240192153722978,0.0235807860262009,0.0418604651162791,0.0366071428571429,0.0227655986509275,0.0218120805369128,0.0199587061252581,0.0172413793103448,0.0259433962264151
"673","E01001218",0.235196619055927,3.17163579771639,0.775942417312888,0.0236,0.0318949343339587,0.0266129032258065,0.0270912547528517,0.0309698451507743,0.0409416581371546,0.0268562401263823,0.0248842592592593,0.0163204747774481,0.0199386503067485,0.0323325635103926,0.0220739219712526
"674","E01001219",0.218536910939991,3.16946328977378,0.775410912066972,0.0322033898305085,0.0321701199563795,0.0224780701754386,0.0251968503937008,0.0443349753694581,0.0477482365708085,0.0377875136911281,0.0327683615819209,0.0310650887573964,0.0324640766365088,0.018941504178273,0.0294255021018216
"675","E01001221",0.444884755469394,3.22252720690147,0.788393028159177,0.0169767834054753,0.016972324108036,0.0186810580002372,0.0194378943343318,0.0177580783528739,0.0191560495165808,0.0176125244618395,0.0183140751231131,0.0158492998183629,0.0178633975481611,0.0156277487832053,0.0201503504408772
"676","E01001222",0.311921539135074,3.25411250660176,0.796120388853821,0.0249864204236828,0.0306876726648249,0.0294365557932957,0.0273319784147452,0.0261625867994669,0.0279941065038939,0.0337986253808545,0.0350603817686015,0.0285551113649343,0.030536470261642,0.0264980832604748,0.0316464237516869
"677","E01001223",0.354893969662822,3.16128873914759,0.773411003824702,0.0145506634499397,0.0168742104313301,0.0113131313131313,0.0170642365764317,0.0133399209486166,0.0175868774837237,0.0209455936033374,0.014411379374883,0.0159463622361149,0.0163861031518625,0.0139517345399698,0.0167691447736165
"678","E01001224",0.243572096182347,3.18075652202348,0.778173807459126,0.0135100025980774,0.0256243918261434,0.0190557451649602,0.0157068062827225,0.0203470975463794,0.01762554040572,0.0188512518409426,0.0203030303030303,0.0137210062071219,0.0174362286083306,0.0179282868525896,0.016432626232447
"679","E01001225",0.425032068333724,3.10022336922382,0.7584713279682,0.0142644873699851,0.0130087122568326,0.0165163533630338,0.0140013392585378,0.0160941228703036,0.0154011057204107,0.0175956542276807,0.0147820593809223,0.0115984460334441,0.0123377004876329,0.0134697248872228,0.0146914789422135
"680","E01001226",0.330129424373831,3.15990723800785,0.773073018821926,0.0183414634146341,0.0186123218282483,0.0169954476479514,0.0230733192785196,0.0228452751817238,0.0216369795650749,0.0258795468097794,0.0226199353716132,0.018706842435656,0.0203110492107707,0.014873574615766,0.0213323799308783
"681","E01001227",0.290268901982357,3.14947269557066,0.770520202357913,0.0131628431741256,0.0135808057944771,0.0158700867318693,0.0121464226289517,0.0131307447008066,0.0168251645940015,0.0167574361122748,0.0159399906235349,0.00908723747980614,0.0132063217146569,0.0113611049231455,0.0142009325985587
"682","E01001228",0.32628972847156,3.19194108702274,0.780910117349554,0.0151169857186266,0.0161939775910364,0.0176830650646112,0.0160450268817204,0.0180065750149432,0.0199984001279898,0.0153308917468699,0.0123147969982682,0.0118519858861847,0.0158131837822929,0.014087134993936,0.0179756637168142
"683","E01001229",0.312389287756006,3.1945599702311,0.781550828546223,0.0154755205402364,0.0168314186481432,0.0206734340183214,0.0206244629046119,0.0243173481863877,0.0196803592656188,0.0326862689123608,0.0267151438507746,0.0195471804246941,0.0226952354102058,0.0185797512202803,0.0194796159732851
"684","E01001230",0.309550771796556,3.1575424264972,0.772494466403838,0.0126831401705664,0.0108219844357977,0.0157633340531203,0.0150056271101663,0.0140860449879886,0.0156214105214794,0.0163036714374611,0.013982583098246,0.0113013698630137,0.0124599908550526,0.0112332978597611,0.0168513910879891
"685","E01001231",0.251817350020965,3.07130266946299,0.751395863093274,0.0104312626498521,0.0126962913464751,0.0163059590868663,0.0176617693029072,0.0158918758354374,0.0190691661279897,0.0185481291973137,0.0185218812420556,0.0251284980011422,0.0142789894868979,0.0138076673164392,0.0150891632373114
"686","E01001232",0.347575163418741,3.17690804892093,0.77723227642826,0.0160934048595772,0.0179713340683572,0.0199773452785501,0.0215881158490969,0.0243044099857033,0.0232986562635457,0.0215758731672428,0.0225742080319282,0.0172450959258461,0.0205105339427043,0.016435313714603,0.0262725779967159
"687","E01001233",0.328785643615517,3.17355279631983,0.776411412060458,0.0174000334616028,0.0155449890270666,0.0234558248631744,0.0200198544010589,0.0174323884001303,0.0167616493462957,0.0210805746408495,0.0250096936797208,0.0194772765107375,0.0199263228399196,0.0188430374976446,0.0212868117797695
"688","E01001234",0.342026154436018,3.18727744749899,0.779769155411824,0.0193329084342469,0.0220878865380144,0.0179615261983208,0.0188422247446084,0.0165016501650165,0.0231696014828545,0.0253045923149016,0.0247033179946718,0.0171462829736211,0.0194058457115477,0.0195670783906078,0.0235047450893842
"689","E01001235",0.389081150868335,3.18783512971622,0.779905592668599,0.016665678192278,0.0160896130346232,0.0188307692307692,0.0158427557191691,0.0161290322580645,0.0156127000787195,0.0184002746309646,0.0177222339899739,0.0146280937765297,0.0158549638747659,0.0133250483291908,0.0164720600500417
"690","E01001236",0.496584036369343,3.1607665503277,0.773283250046826,0.0161387692679197,0.0148225075528701,0.018393110943901,0.0169513127708386,0.0172296144660525,0.020735557641437,0.0207877912971747,0.018927304964539,0.0147558214747736,0.0198348479190008,0.0162157398431303,0.0224364442927828
