,number_of_threads,processing_time,processing_time_per_transaction
0,Sequential processing,91.36463000000003,9.136463000000003e-05
1,2 threads,334.7995458999976,0.0003347995458999976
2,3 threads,238.39115310000125,0.00023839115310000125
3,4 threads,182.66543309999906,0.00018266543309999907
4,5 threads,176.11023479999858,0.00017611023479999858
5,6 threads,163.95931950000158,0.00016395931950000158
